-8.427131, 7.560599
-8.222449, 7.822079
-8.106432, 8.352302
-7.986667, 8.878668
-7.472029, -9.115919
-7.685343, -8.863470
-7.806771, -8.338916
-7.924540, -7.810459
-8.038182, -7.277941
-8.147185, -6.741229
-8.052907, -6.467294
-8.250990, -6.200222
-8.154891, -5.924875
-8.348995, -5.654864
-8.250771, -5.378028
-8.440559, -5.105150
-8.339873, -4.826771
-8.421502, -4.271195
-8.494948, -3.711477
-8.559510, -3.147885
-8.614519, -2.580787
-8.659359, -2.010647
-8.693496, -1.438028
-8.716504, -0.863571
-8.728085, -0.287984
-8.728085, 0.287984
-8.716504, 0.863571
-8.693496, 1.438028
-8.659359, 2.010647
-8.614519, 2.580787
-8.559510, 3.147885
-8.494948, 3.711477
-8.421502, 4.271195
-8.339873, 4.826771
-8.440559, 5.105150
-8.250771, 5.378028
-8.348995, 5.654864
-8.154891, 5.924875
-8.250990, 6.200222
-8.052907, 6.467294
-8.147185, 6.741229
-7.945451, 7.005327
-7.833116, 7.539064
-7.716446, 8.068635
-7.595934, 8.594195
-7.472029, 9.115919
-6.822009, -9.860517
-7.040276, -9.614453
-7.168687, -9.098325
-7.294210, -8.578538
-7.416442, -8.054886
-7.534933, -7.527177
-7.649178, -6.995233
-7.758619, -6.458903
-7.664437, -6.185047
-7.862646, -5.918073
-7.766563, -5.642738
-7.960598, -5.372679
-7.862279, -5.095780
-8.051770, -4.822717
-7.950842, -4.544195
-8.031483, -3.988092
-8.103422, -3.427675
-8.165889, -2.863260
-8.218157, -2.295277
-8.259570, -1.724268
-8.289576, -1.150883
-8.307755, -0.575859
-8.313844, 0.000000
-8.307755, 0.575859
-8.289576, 1.150883
-8.259570, 1.724268
-8.218157, 2.295277
-8.165889, 2.863260
-8.103422, 3.427675
-8.031483, 3.988092
-7.950842, 4.544195
-8.051770, 4.822717
-7.862279, 5.095780
-7.960598, 5.372679
-7.766563, 5.642738
-7.862646, 5.918073
-7.664437, 6.185047
-7.758619, 6.458903
-7.556598, 6.722754
-7.443695, 7.255964
-7.326320, 7.784821
-7.205009, 8.309503
-7.080244, 8.830206
-6.952451, 9.347140
-6.822009, 9.860517
-6.294361, -10.080487
-6.515199, -9.838221
-6.647075, -9.326886
-6.776417, -8.812002
-6.902849, -8.293339
-7.025943, -7.770671
-7.145212, -7.243780
-7.260110, -6.712466
-7.370030, -6.176558
-7.275953, -5.902789
-7.474300, -5.635923
-7.378235, -5.360602
-7.572194, -5.090489
-7.473768, -4.813521
-7.561731, -4.261575
-7.641269, -3.704890
-7.711516, -3.143712
-7.771628, -2.578411
-7.820814, -2.009493
-7.858379, -1.437597
-7.883756, -0.863476
-7.896548, -0.287981
-7.896548, 0.287981
-7.883756, 0.863476
-7.858379, 1.437597
-7.820814, 2.009493
-7.771628, 2.578411
-7.711516, 3.143712
-7.641269, 3.704890
-7.561731, 4.261575
